art_codigo;art_nombre;art_subgrupo;art_empresa;art_medida;art_tarifa;art_descripcion;art_tipoarticulo;art_tipodestino;art_tarifa_consumo;art_referencia;art_econ_codigo;art_estado;art_gravado;art_img_nombre;art_img_ubicacion;gru_id;tip_id;art_tienetarifacondicionada;art_nrouvt_tarifacondicion;art_tarifacondicionada;econ_id;tir_codigo;art_dia_sin_iva;artdpto_id;art_peso;art_tarifa_consumo_esp;art_tarcons_mayorvlriva;art_precio_venta;art_cantidad;art_precio_costo
64130;Polvo Para Hornear Carolesen X 30 Kg;2057;901418981;g;IVA19;;Articulo;MERCANCIA;;64130;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;8;1;6
84220;Dulce De Leche Frutirrey X 12 Kg;2071;901418981;g;;;Articulo;MERCANCIA;;84220;;Activo;false;;;1586;547;;;;3639;NOAPLICA;;;;;;8;9;6
88650;Fecula x25Kg;2057;901418981;g;;;Articulo;MERCANCIA;;88650;;Activo;false;;;1585;547;;;;3641;NOAPLICA;;;;;;7;7;5
90000;Grasa Selecta  X 15 Kg;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;7707170120417;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;10;13;7
90550;Almidon Agrio X 12 Kg;1855;901418981;g;;;Articulo;MERCANCIA;;90550;;Activo;false;;;1574;563;;;;3639;NOAPLICA;;;;;;9;22;8
95425;Grasa Margarina Repostera 5A x15Kl;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;95425;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;10;8;7
105000;Grasa Multiproposito 15Kg;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;105000;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;9;4;6
120000;Grasa Ricura  X 15 Kg;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;7707170120400;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;9;3;6
1052;Harina De Trigo 3 Castillos X 50 Kg;2057;901418981;g;IVA 5%;;Articulo;MERCANCIA;;7707136000074;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;7;100500;5
239075;Grasa Brahman Pan X 15 Kg;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;239075;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;5;31;3
